Transaction_ID,Customer_ID,Purchase_Date,Age,Gender,Location,Online/Offline,Online_Store,Category,Item_Purchased,Brand,Color,Size,Quantity,Purchase_Amount_(₹),Discount_(%),Festival/Sale,Shipping_Charge_(₹),Delivery_Speed,Delivery_Time_(Days),Subscription_Status,Payment_Method,Review_Rating,Return_Status,Previous_Purchases,Frequency_of_Purchases
TXN505866,CUST101915,2023-01-06,39.0,Female,Surat,Offline,Myntra,Clothing,Hoodie,Levis,Grey,M,1.0,1302.0,26.0,Missing,0.0,Standard,0.0,Yes,Cash on Delivery,3.0,Returned,0.0,Fortnightly
TXN505740,CUST101861,2023-01-06,30.0,Female,Nagpur,Online,Myntra,Accessories,Belt,HRX,Grey,M,1.0,245.0,63.0,Missing,0.0,Express,2.0,No,Debit Card,4.0,Not Returned,0.0,Weekly
TXN508807,CUST102824,2023-01-06,44.0,Female,Chennai,Online,Myntra,Clothing,Saree,Allen Solly,Black,S,1.0,1054.0,70.0,Missing,199.0,Standard,4.0,Yes,UPI,2.0,Not Returned,0.0,Fortnightly
TXN507176,CUST102353,2023-01-06,37.0,Female,Pune,Online,Amazon,Clothing,Jacket,US Polo,Red,M,1.0,1075.0,37.0,Missing,199.0,Standard,8.0,No,Credit Card,5.0,Not Returned,1.0,Fortnightly
TXN508568,CUST102756,2023-01-06,55.0,Female,Hyderabad,Offline,Myntra,Clothing,Kurta,Puma,Green,XL,1.0,3149.0,68.0,Missing,0.0,Standard,0.0,No,UPI,4.0,Returned,0.0,Monthly
TXN509211,CUST102941,2023-01-06,57.0,Male,Kolkata,Online,Shein,Footwear,Sneakers,Campus,Pink,10,3.0,2295.0,62.0,Missing,199.0,Standard,6.0,No,Credit Card,3.0,Not Returned,0.0,Fortnightly
TXN502218,CUST100728,2023-01-06,38.0,Female,Bhubaneswar,Offline,Myntra,Accessories,Bag,HRX,Red,Free Size,1.0,259.0,35.0,Missing,0.0,Standard,0.0,Yes,Cash on Delivery,3.0,Not Returned,0.0,Fortnightly
TXN501031,CUST100313,2023-01-06,29.0,Female,Patna,Offline,Myntra,Footwear,Formal Shoes,HRX,Grey,7,1.0,837.0,47.0,Missing,0.0,Standard,0.0,Yes,Wallet,4.0,Returned,0.0,Fortnightly
TXN507552,CUST102470,2023-01-06,55.0,Male,Nagpur,Online,Ajio,Clothing,Shorts,US Polo,Navy,M,1.0,725.0,67.0,Missing,0.0,Express,2.0,Yes,UPI,5.0,Not Returned,0.0,Fortnightly
TXN500618,CUST100158,2023-01-07,39.0,Female,Chennai,Online,Shein,Footwear,Running Shoes,HRX,Green,7,2.0,1842.0,65.0,Missing,0.0,Standard,6.0,Yes,Debit Card,3.0,Not Returned,0.0,Weekly
TXN500470,CUST100115,2023-01-07,41.0,Female,Indore,Offline,Myntra,Clothing,Saree,Zara,Yellow,S,1.0,3123.0,69.0,Missing,0.0,Standard,0.0,No,UPI,5.0,Not Returned,1.0,Weekly
TXN506951,CUST102279,2023-01-07,46.0,Male,Bhubaneswar,Online,Myntra,Accessories,Belt,HRX,Navy,M,3.0,809.0,20.0,Missing,0.0,Standard,8.0,No,Credit Card,3.0,Not Returned,0.0,Monthly
TXN505020,CUST101652,2023-01-07,20.0,Male,Kolkata,Online,Myntra,Clothing,Shirt,H&M,Yellow,L,2.0,2000.0,27.0,Missing,0.0,Standard,4.0,Yes,UPI,4.0,Not Returned,0.0,Weekly
TXN501059,CUST100323,2023-01-07,56.0,Male,Pune,Online,Amazon,Accessories,Backpack,Bata,Black,Free Size,1.0,690.0,40.0,Missing,149.0,Standard,5.0,No,Debit Card,4.0,Not Returned,0.0,Fortnightly
TXN500316,CUST100080,2023-01-07,57.0,Female,Mumbai,Online,Flipkart,Footwear,Boots,HRX,Grey,7,1.0,810.0,56.0,Missing,0.0,Express,2.0,Yes,UPI,5.0,Not Returned,0.0,Fortnightly
TXN500469,CUST100115,2023-01-07,41.0,Female,Indore,Online,Myntra,Clothing,Jeans,Allen Solly,Brown,M,1.0,1010.0,54.0,Missing,0.0,Standard,4.0,No,Cash on Delivery,5.0,Not Returned,0.0,Weekly
TXN500471,CUST100115,2023-01-07,41.0,Female,Indore,Offline,Myntra,Accessories,Bag,Puma,Pink,Free Size,2.0,4465.0,32.0,Missing,0.0,Standard,0.0,No,UPI,3.0,Not Returned,2.0,Weekly
TXN506504,CUST102142,2023-01-07,58.0,Female,Pune,Online,Myntra,Footwear,Sneakers,HRX,Blue,7,1.0,699.0,30.0,Missing,149.0,Standard,5.0,No,UPI,4.0,Not Returned,0.0,Monthly
TXN501860,CUST100606,2023-01-07,31.0,Female,Hyderabad,Online,Amazon,Clothing,Shirt,Puma,Green,XS,2.0,5108.0,47.0,Missing,0.0,Standard,4.0,Yes,UPI,3.0,Not Returned,0.0,Fortnightly
TXN503351,CUST101085,2023-01-08,53.0,Female,Delhi,Online,Ajio,Footwear,Slippers,Campus,Black,9,2.0,1478.0,29.0,Missing,0.0,Express,4.0,Yes,UPI,5.0,Not Returned,0.0,Fortnightly
TXN505981,CUST101948,2023-01-08,18.0,Male,Kolkata,Online,Amazon,Clothing,T-shirt,Zara,Grey,L,1.0,2567.0,41.0,Missing,149.0,Express,2.0,No,UPI,3.0,Not Returned,0.0,Weekly
TXN503389,CUST101091,2023-01-08,36.0,Male,Pune,Offline,Myntra,Footwear,Running Shoes,Max,Navy,7,1.0,765.0,41.0,Missing,0.0,Standard,0.0,No,UPI,5.0,Returned,0.0,Fortnightly
TXN507177,CUST102353,2023-01-08,37.0,Female,Pune,Online,Amazon,Clothing,Jacket,US Polo,Green,L,1.0,898.0,58.0,Missing,99.0,Express,2.0,No,UPI,5.0,Not Returned,2.0,Fortnightly
TXN509388,CUST102991,2023-01-08,44.0,Male,Kolkata,Online,Shein,Clothing,Jacket,Allen Solly,Beige,XXL,1.0,1083.0,34.0,Missing,149.0,Standard,5.0,No,UPI,5.0,Not Returned,0.0,Fortnightly
TXN504074,CUST101343,2023-01-08,42.0,Male,Ahmedabad,Online,Flipkart,Clothing,Hoodie,Zara,Blue,L,1.0,1674.0,62.0,Missing,0.0,Standard,6.0,Yes,UPI,3.0,Not Returned,0.0,Weekly
TXN507019,CUST102306,2023-01-08,31.0,Female,Ahmedabad,Online,Ajio,Footwear,Sneakers,Puma,White,7,1.0,1480.0,64.0,Missing,199.0,Standard,6.0,No,UPI,3.0,Not Returned,0.0,Monthly
TXN504562,CUST101523,2023-01-08,24.0,Male,Mumbai,Offline,Myntra,Clothing,Shorts,H&M,Brown,M,1.0,937.0,37.0,Missing,0.0,Standard,0.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN502396,CUST100772,2023-01-08,18.0,Male,Kolkata,Online,Ajio,Clothing,Shirt,Puma,Beige,L,1.0,2430.0,53.0,Missing,0.0,Express,4.0,No,Debit Card,3.0,Not Returned,0.0,Weekly
TXN503792,CUST101244,2023-01-08,54.0,Male,Kolkata,Online,Amazon,Clothing,Kurta,US Polo,Red,L,2.0,1792.0,58.0,Missing,199.0,Standard,4.0,No,EMI,3.0,Returned,0.0,Weekly
TXN508226,CUST102658,2023-01-08,46.0,Female,Mumbai,Online,Meesho,Accessories,Bag,Bewakoof,Brown,Free Size,1.0,259.0,69.0,Missing,149.0,Standard,6.0,No,UPI,3.0,Not Returned,0.0,Fortnightly
TXN506877,CUST102253,2023-01-09,39.0,Male,Chennai,Online,Meesho,Clothing,Jacket,Levis,Blue,S,2.0,4246.0,33.0,Missing,0.0,Standard,5.0,Yes,UPI,4.0,Not Returned,0.0,Monthly
TXN504491,CUST101499,2023-01-09,53.0,Male,Bhubaneswar,Online,Ajio,Clothing,Jacket,Roadster,Blue,M,1.0,1187.0,48.0,Missing,0.0,Standard,5.0,Yes,UPI,4.0,Not Returned,0.0,Weekly
TXN508206,CUST102653,2023-01-09,33.0,Female,Pune,Online,Myntra,Clothing,Jeans,Levis,Beige,L,1.0,2630.0,46.0,Missing,0.0,Standard,5.0,Yes,Credit Card,4.0,Not Returned,0.0,Weekly
TXN501803,CUST100595,2023-01-09,51.0,Female,Chennai,Online,Amazon,Clothing,Kurta,US Polo,Pink,XL,1.0,504.0,52.0,Missing,79.0,Standard,5.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN506263,CUST102066,2023-01-09,48.0,Male,Kolkata,Online,Ajio,Clothing,Shorts,Puma,Brown,L,2.0,5382.0,31.0,Missing,149.0,Standard,4.0,No,UPI,3.0,Not Returned,0.0,Fortnightly
TXN508141,CUST102627,2023-01-09,18.0,Male,Mumbai,Online,Flipkart,Footwear,Boots,Puma,Pink,8,1.0,4821.0,67.0,Missing,0.0,Same Day,1.0,Yes,Wallet,4.0,Not Returned,0.0,Monthly
TXN501989,CUST100647,2023-01-09,40.0,Female,Hyderabad,Online,Ajio,Accessories,Bag,US Polo,White,Free Size,2.0,576.0,70.0,Missing,0.0,Express,2.0,Yes,Cash on Delivery,4.0,Not Returned,0.0,Quarterly
TXN509031,CUST102885,2023-01-09,24.0,Male,Surat,Offline,Myntra,Clothing,Jeans,Puma,Pink,XS,2.0,4907.0,47.0,Missing,0.0,Standard,0.0,Yes,UPI,4.0,Not Returned,0.0,Fortnightly
TXN502063,CUST100668,2023-01-10,56.0,Female,Kolkata,Online,Flipkart,Footwear,Formal Shoes,Zara,Yellow,11,1.0,3579.0,44.0,Missing,0.0,Express,2.0,No,UPI,4.0,Not Returned,0.0,Fortnightly
TXN509513,CUST103031,2023-01-10,29.0,Male,Jaipur,Offline,Myntra,Accessories,Cap,US Polo,Green,Free Size,2.0,1409.0,65.0,Missing,0.0,Standard,0.0,Yes,Cash on Delivery,4.0,Not Returned,0.0,Weekly
TXN503820,CUST101254,2023-01-10,45.0,Female,Delhi,Online,Amazon,Accessories,Cap,HRX,Black,Free Size,1.0,198.0,27.0,Missing,0.0,Express,4.0,No,Net Banking,5.0,Not Returned,0.0,Weekly
TXN503033,CUST100977,2023-01-10,42.0,Female,Pune,Online,Amazon,Accessories,Cap,Nike,Beige,Free Size,1.0,2375.0,49.0,Missing,0.0,Standard,6.0,No,Credit Card,4.0,Returned,0.0,Monthly
TXN509791,CUST103125,2023-01-10,55.0,Male,Bangalore,Online,Shein,Accessories,Belt,Max,Brown,M,1.0,288.0,59.0,Missing,0.0,Standard,7.0,Yes,UPI,4.0,Not Returned,0.0,Fortnightly
TXN500272,CUST100071,2023-01-10,25.0,Female,Bangalore,Online,Ajio,Footwear,Boots,Nike,Navy,8,1.0,1673.0,53.0,Missing,79.0,Same Day,1.0,No,UPI,4.0,Not Returned,0.0,Fortnightly
TXN507011,CUST102300,2023-01-10,29.0,Male,Hyderabad,Online,Shein,Clothing,Hoodie,H&M,Red,S,2.0,2470.0,39.0,Missing,0.0,Same Day,1.0,Yes,UPI,4.0,Returned,0.0,Monthly
TXN508273,CUST102668,2023-01-10,21.0,Female,Gurgaon,Online,Shein,Footwear,Slippers,Max,Yellow,8,1.0,863.0,62.0,Missing,0.0,Express,4.0,Yes,Credit Card,4.0,Returned,0.0,Weekly
TXN505707,CUST101855,2023-01-10,53.0,Female,Chennai,Online,Myntra,Footwear,Boots,Roadster,Brown,8,1.0,2009.0,63.0,Missing,0.0,Standard,5.0,Yes,Debit Card,3.0,Not Returned,0.0,Fortnightly
TXN507567,CUST102478,2023-01-10,21.0,Male,Pune,Online,Amazon,Accessories,Cap,Roadster,Yellow,Free Size,1.0,765.0,48.0,Missing,79.0,Standard,8.0,Yes,Cash on Delivery,3.0,Not Returned,0.0,Weekly
TXN500286,CUST100073,2023-01-10,23.0,Male,Pune,Offline,Myntra,Clothing,Jacket,Zara,Yellow,S,1.0,1823.0,53.0,Missing,0.0,Standard,0.0,No,Cash on Delivery,5.0,Not Returned,0.0,Quarterly
TXN500751,CUST100203,2023-01-11,47.0,Female,Mumbai,Online,Ajio,Footwear,Sneakers,Bata,Brown,11,3.0,7321.0,27.0,Missing,0.0,Standard,7.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN507445,CUST102437,2023-01-11,46.0,Female,Pune,Online,Flipkart,Footwear,Formal Shoes,H&M,Navy,10,1.0,2131.0,38.0,Missing,199.0,Express,2.0,No,UPI,4.0,Not Returned,0.0,Fortnightly
TXN501121,CUST100339,2023-01-11,58.0,Male,Surat,Online,Myntra,Accessories,Cap,Bewakoof,Green,Free Size,1.0,287.0,25.0,Missing,49.0,Express,2.0,No,UPI,5.0,Not Returned,0.0,Weekly
TXN509004,CUST102881,2023-01-11,27.0,Female,Jaipur,Online,Flipkart,Clothing,Saree,HRX,Beige,S,3.0,1367.0,48.0,Missing,0.0,Same Day,1.0,No,UPI,4.0,Not Returned,0.0,Weekly
TXN505884,CUST101924,2023-01-11,33.0,Male,Chennai,Online,Ajio,Clothing,Shorts,Puma,Beige,XL,1.0,2960.0,29.0,Missing,0.0,Standard,4.0,Yes,UPI,5.0,Returned,0.0,Weekly
TXN509188,CUST102938,2023-01-11,55.0,Male,Mumbai,Online,Meesho,Clothing,Shorts,Nike,Navy,S,1.0,3341.0,52.0,Missing,79.0,Express,4.0,No,Credit Card,4.0,Not Returned,0.0,Fortnightly
TXN509157,CUST102926,2023-01-11,43.0,Female,Mumbai,Online,Ajio,Clothing,Saree,Roadster,Beige,S,1.0,1090.0,58.0,Missing,0.0,Standard,6.0,No,UPI,5.0,Not Returned,0.0,Fortnightly
TXN505411,CUST101766,2023-01-11,39.0,Female,Pune,Online,Shein,Accessories,Wallet,Nike,Beige,M,3.0,8346.0,24.0,Missing,0.0,Standard,7.0,Yes,UPI,3.0,Not Returned,0.0,Weekly
TXN504266,CUST101399,2023-01-12,30.0,Male,Visakhapatnam,Offline,Myntra,Clothing,Jacket,Roadster,Brown,XL,1.0,880.0,52.0,Missing,0.0,Standard,0.0,No,Debit Card,5.0,Not Returned,1.0,Weekly
TXN508207,CUST102653,2023-01-12,33.0,Female,Pune,Online,Flipkart,Footwear,Sandals,Campus,Brown,10,1.0,4202.0,51.0,Missing,0.0,Standard,7.0,Yes,Wallet,4.0,Not Returned,1.0,Weekly
TXN500832,CUST100223,2023-01-12,26.0,Female,Pune,Online,Amazon,Footwear,Boots,Max,Navy,11,1.0,892.0,69.0,Missing,0.0,Standard,5.0,No,Cash on Delivery,5.0,Not Returned,0.0,Fortnightly
TXN500890,CUST100249,2023-01-12,19.0,Female,Visakhapatnam,Online,Ajio,Clothing,Dress,Puma,Beige,XL,1.0,584.0,43.0,Missing,99.0,Same Day,1.0,Yes,UPI,5.0,Not Returned,0.0,Fortnightly
TXN509524,CUST103034,2023-01-12,22.0,Female,Pune,Online,Myntra,Clothing,Saree,Bewakoof,Pink,L,2.0,2134.0,20.0,Missing,0.0,Standard,5.0,No,UPI,5.0,Returned,0.0,Fortnightly
TXN506993,CUST102293,2023-01-12,49.0,Female,Noida,Online,Flipkart,Clothing,Jacket,Levis,Blue,M,1.0,1290.0,32.0,Missing,0.0,Standard,8.0,No,Debit Card,3.0,Not Returned,0.0,Fortnightly
TXN504985,CUST101647,2023-01-12,45.0,Female,Kolkata,Online,Flipkart,Footwear,Boots,Nike,Beige,9,2.0,8947.0,61.0,Missing,99.0,Express,4.0,No,UPI,5.0,Not Returned,0.0,Weekly
TXN508532,CUST102741,2023-01-12,22.0,Male,Chennai,Online,Meesho,Footwear,Sneakers,Campus,Beige,9,1.0,745.0,32.0,Missing,49.0,Standard,4.0,No,Credit Card,3.0,Returned,0.0,Fortnightly
TXN503811,CUST101250,2023-01-12,28.0,Male,Chennai,Online,Ajio,Footwear,Boots,Campus,Beige,9,2.0,1274.0,65.0,Missing,0.0,Standard,8.0,Yes,Debit Card,4.0,Not Returned,0.0,Weekly
TXN502352,CUST100758,2023-01-12,23.0,Female,Jaipur,Offline,Myntra,Clothing,Saree,Nike,Pink,M,1.0,355.0,60.0,Missing,0.0,Standard,0.0,No,Cash on Delivery,4.0,Not Returned,0.0,Monthly
